,catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class
907,23868,183.29129534,1.19232799,183.29129534,1.19232799,17.611,17.624,0.0229,0.02132,-17.37,1.83,20.7,21.38,23.22,0.2515,27.62001,8.67,0.63,0.132,8,0
908,570222,222.77134432,-0.56393648,222.77134432,-0.56393648,19.213,19.178,0.04393,0.04319,-17.35,3.0,23.04,23.73,25.56,0.479,146.93001,8.69,0.63,0.182,3,0
909,508320,216.65218339,-1.51749993,216.65218339,-1.51749993,16.461,16.409,0.0936,0.09271,-21.81,6.72,22.26,22.94,24.77,0.2854,70.01001,10.58,0.91,0.176,3,0
910,77155,212.01332028,0.04929548,212.01332028,0.04929548,16.728,16.745,0.08651,0.08556,-21.32,3.53,20.55,21.24,23.07,0.6102,120.53,10.35,0.83,0.165,3,0
911,278702,133.34646647,0.83572799,133.34646647,0.83572799,18.743,18.768,0.02976,0.02874,-16.79,1.2,20.89,21.57,23.41,0.3256,176.70001,8.34,0.51,0.183,8,0
912,545306,218.90786507,-1.02942212,218.90786507,-1.02942212,16.256,16.242,0.03919,0.03839,-19.97,4.71,21.48,22.16,23.99,0.1873,3.6899948,9.79,0.75,0.143,8,0
913,204167,136.81009821,-0.29650229,136.81009821,-0.29650229,18.423,18.391,0.04077,0.03968,-17.9,2.74,22.04,22.72,24.56,0.4243,87.65,8.79,0.52,0.111,3,1
914,647238,140.62303946,-0.92490836,140.62303946,-0.92490836,17.185,17.168,0.05696,0.05581,-19.91,2.76,21.39,22.07,23.91,0.0559,62.160004,9.96,1.02,0.124,3,0
915,551066,138.68185881,-0.62377849,138.68185881,-0.62377849,16.697,16.673,0.05417,0.05305,-20.25,5.54,22.17,22.85,24.68,0.2373,110.19,9.86,0.73,0.126,3,0
916,227371,213.11455765,1.22907014,213.11455765,1.22907014,17.819,17.862,0.02601,0.0251,-17.42,6.81,23.08,23.76,25.6,0.5933,52.339996,8.56,0.46,0.152,8,0
917,320417,218.18967948,1.87746304,218.18967948,1.87746304,15.298,15.298,0.03069,0.02989,-20.36,5.23,20.49,21.17,23.0,0.3636,124.31999,9.94,0.73,0.142,8,0
918,70638,180.74096266,0.05994851,180.74096266,0.05994851,16.536,16.546,0.08113,0.07984,-21.4,4.79,20.81,21.5,23.33,0.6571,11.459991,10.65,1.17,0.091,3,0
919,21953,175.07726884,1.07610358,175.07726884,1.07610358,16.627,16.645,0.07821,0.07691,-21.26,2.87,20.47,21.16,22.99,0.3709,78.57001,10.79,1.45,0.078,3,0
920,65078,221.5475552,-0.23838623,221.5475552,-0.23838623,17.368,16.628,0.08082,0.08004,-21.26,2.8,20.65,21.34,23.17,0.5207,112.4,10.43,0.97,0.167,3,1
921,509889,223.28555841,-1.35502252,223.28555841,-1.35502252,16.61,16.599,0.0839,0.08314,-21.34,4.67,21.26,21.95,23.78,0.5174,176.28,10.42,0.91,0.196,3,0
922,583461,174.99130489,-0.16972897,174.99130489,-0.16972897,19.619,18.458,0.04119,0.03993,-17.91,2.05,22.02,22.7,24.53,0.0125,169.09,8.76,0.47,0.086,3,1
923,493840,222.70351638,-1.32240474,222.70351638,-1.32240474,17.289,17.229,0.04936,0.04862,-19.49,5.92,21.63,22.31,24.15,0.7605,38.78,9.44,0.55,0.183,3,0
924,302033,136.08769952,1.25748253,136.08769952,1.25748253,17.632,17.639,0.05316,0.05207,-19.27,1.7,19.63,20.31,22.15,0.6893,125.07,9.7,1.0,0.162,3,0
925,387719,137.56110592,2.4075579,137.56110592,2.4075579,16.631,16.569,0.093,0.09186,-21.62,5.43,22.0,22.68,24.52,0.2736,114.84,10.47,0.86,0.173,3,0
926,185510,180.59132175,-1.45393562,180.59132175,-1.45393562,16.515,16.206,0.02217,0.02047,-18.73,8.21,21.28,21.96,23.79,0.7754,30.089996,9.4,0.85,0.1,8,0
927,16607,219.44124154,0.71094297,219.44124154,0.71094297,18.141,18.14,0.05856,0.05776,-18.97,1.32,20.1,20.78,22.61,0.5144,86.47,9.54,0.95,0.154,3,0
928,321207,221.90937302,1.66450198,221.90937302,1.66450198,18.546,18.343,0.02718,0.02647,-17.0,3.15,22.82,23.51,25.34,0.6211,33.850006,8.64,0.77,0.155,8,0
929,622044,130.46502726,0.64758571,130.46502726,0.64758571,19.786,18.74,0.04286,0.04185,nan,0.99,21.5,22.19,24.02,0.4252,31.600006,9.92,1.69,0.147,8,1
930,272702,180.60461136,1.33955484,180.60461136,1.33955484,17.838,17.187,0.08295,0.08167,-20.84,3.06,20.83,21.51,23.34,0.7364,137.92,10.73,1.42,0.079,3,1
931,376185,132.35193834,1.38501253,132.35193834,1.38501253,17.286,17.275,0.03503,0.03401,-18.67,2.89,21.29,21.98,23.81,0.3045,56.17,9.07,0.5,0.148,8,0
932,296639,212.67738246,1.40806629,212.67738246,1.40806629,15.827,15.824,0.04735,0.04645,-20.81,3.07,20.13,20.82,22.65,0.1792,47.36,10.22,0.87,0.16,8,0
933,77452,213.37499518,0.18584768,213.37499518,0.18584768,15.473,15.484,0.02673,0.02584,-19.86,6.54,20.28,20.97,22.8,0.711,38.069992,9.77,0.76,0.153,8,0
934,273956,185.9160281,1.32375938,185.9160281,1.32375938,15.244,15.199,0.02765,0.02644,-20.23,7.57,20.63,21.31,23.14,0.6325,89.350006,9.98,0.83,0.096,8,0
935,272667,180.38184103,1.29585792,180.38184103,1.29585792,15.976,15.912,0.02414,0.0227,-19.2,7.64,22.0,22.69,24.52,0.2725,71.81,9.47,0.71,0.078,8,0
936,381302,132.10261047,1.78287824,132.10261047,1.78287824,19.463,18.255,0.03698,0.03596,-18.19,1.69,22.48,23.17,25.0,0.2663,39.03,10.05,2.08,0.154,8,1
937,92991,218.41098915,0.43000164,218.41098915,0.43000164,18.358,18.368,0.03158,0.03078,-17.3,2.76,22.29,22.98,24.81,0.2961,75.100006,8.62,0.62,0.132,3,0
938,492322,216.08093389,-1.43095452,216.08093389,-1.43095452,17.318,17.279,0.05578,0.05492,-19.72,4.98,21.15,21.84,23.67,0.7973,156.51999,9.47,0.5,0.16,3,0
939,138259,181.6629274,-1.76475455,181.6629274,-1.76475455,15.964,15.946,0.05304,0.05179,-20.96,6.46,21.41,22.1,23.93,0.4287,84.630005,10.19,0.77,0.09,8,0
940,91695,213.06531449,0.52319072,213.06531449,0.52319072,16.961,16.971,0.05405,0.05314,-19.95,4.97,21.69,22.38,24.21,0.5362,117.86,9.56,0.49,0.154,3,0
941,610997,182.86904161,0.37864827,182.86904161,0.37864827,16.076,16.062,0.02206,0.02036,-18.85,5.48,21.54,22.23,24.06,0.2191,148.34,9.32,0.7,0.103,8,0
942,279160,135.78086629,0.85821816,135.78086629,0.85821816,17.475,17.568,0.01392,0.01312,-16.32,5.99,22.62,23.31,25.14,0.5717,40.929993,8.06,0.39,0.159,8,0
943,381215,131.68184337,1.84332,131.68184337,1.84332,16.431,16.191,0.051,0.04997,-20.68,5.64,21.11,21.8,23.63,0.6648,143.67,10.49,1.29,0.167,8,0
944,273750,185.18526162,1.36566657,185.18526162,1.36566657,17.063,17.028,0.03369,0.03249,-18.84,4.67,21.43,22.12,23.95,0.6075,26.619995,9.12,0.46,0.087,8,0
945,220163,180.73056961,1.48349525,180.73056961,1.48349525,16.427,16.37,0.08571,0.08442,-21.66,2.79,20.29,20.98,22.81,0.3207,63.58,10.56,0.92,0.08,3,0
946,485688,216.9634062,-1.74523516,216.9634062,-1.74523516,16.957,16.952,0.05388,0.05303,-20.04,4.3,20.52,21.21,23.04,0.7941,165.03,10.15,1.19,0.188,8,0
947,609190,174.12292367,0.22388332,174.12292367,0.22388332,17.743,17.621,0.05122,0.04995,-19.21,4.6,22.77,23.46,25.29,0.1755,102.09,9.51,0.79,0.084,3,0
948,209743,134.67675665,0.19143266,134.67675665,0.19143266,15.552,15.552,0.04165,0.04059,-20.79,6.95,21.08,21.77,23.6,0.4763,129.98,10.16,0.8,0.107,8,0
949,99259,182.06867249,0.92959648,182.06867249,0.92959648,18.043,17.744,0.03678,0.03556,-18.44,6.23,22.51,23.2,25.03,0.6771,170.58,9.31,0.86,0.11,8,0
950,107259,219.23286221,0.85038577,219.23286221,0.85038577,17.336,17.335,0.03127,0.03048,-18.37,4.47,21.2,21.89,23.72,0.748,131.70001,9.29,0.91,0.149,8,0
951,508352,216.83235777,-1.67321129,216.83235777,-1.67321129,18.373,15.813,0.05447,0.05362,-21.15,5.27,20.92,21.61,23.44,0.512,90.49,10.34,0.86,0.184,8,0
952,388603,140.78384409,2.4860729,140.78384409,2.4860729,14.644,14.598,0.01829,0.01735,-19.9,14.29,22.3,22.99,24.82,0.1166,122.06,9.8,0.76,0.177,8,0
953,290052,184.40673432,1.76327869,184.40673432,1.76327869,18.482,18.494,0.02694,0.02569,-16.81,3.74,23.16,23.85,25.68,0.1389,33.75,8.35,0.52,0.082,8,0
954,203998,136.14022809,-0.31480977,136.14022809,-0.31480977,17.483,17.473,0.02861,0.02758,-18.01,2.63,21.56,22.25,24.08,0.0949,98.93,8.93,0.64,0.138,8,0
955,509576,221.97271945,-1.37672719,221.97271945,-1.37672719,18.41,18.295,0.02742,0.0267,-17.0,4.68,23.75,24.44,26.27,0.3205,116.009995,8.26,0.3,0.19,8,0
956,521753,130.858308,2.90583006,130.858308,2.90583006,15.597,15.597,0.02698,0.0261,-19.77,5.82,20.19,20.88,22.71,0.7119,41.679993,9.79,0.82,0.144,8,0
957,386651,133.31942708,2.24300988,133.31942708,2.24300988,17.255,17.263,0.03577,0.03474,-18.68,7.9,22.7,23.4,25.22,0.679,146.94,9.03,0.45,0.147,8,0
958,419648,140.83324419,2.8242593,140.83324419,2.8242593,16.818,16.791,0.08661,0.08544,-21.35,7.81,21.14,21.83,23.66,0.8724,148.59,10.74,1.36,0.21,3,0
959,375904,131.2701537,1.40141056,131.2701537,1.40141056,17.517,17.465,0.01426,0.01369,-16.45,3.54,21.84,22.53,24.36,0.3455,122.79001,8.07,0.34,0.148,8,0
960,376340,133.01255975,1.42382916,133.01255975,1.42382916,16.018,16.022,0.05203,0.05098,-20.84,5.42,20.85,21.54,23.37,0.5629,13.380005,10.2,0.85,0.131,8,0
961,92039,214.70276753,0.49645182,214.70276753,0.49645182,16.607,16.618,0.05414,0.05326,-20.33,4.26,20.93,21.62,23.45,0.5664,103.8,9.91,0.72,0.145,3,0
962,220602,182.3069016,1.6067983,182.3069016,1.6067983,16.874,16.889,0.04995,0.04871,-19.85,3.66,21.0,21.7,23.52,0.4856,144.45,9.58,0.56,0.096,3,0
963,485152,214.22171222,-1.78110495,214.22171222,-1.78110495,17.287,17.291,0.05533,0.05443,-19.7,3.26,21.28,21.98,23.8,0.4896,68.33,9.58,0.65,0.206,3,0
964,198776,140.83308322,-0.71719434,140.83308322,-0.71719434,17.305,17.342,0.05724,0.05609,-19.73,5.82,22.3,22.99,24.82,0.5686,164.38,9.57,0.61,0.146,3,0
965,85481,182.70962171,0.5959107,182.70962171,0.5959107,16.823,16.829,0.02172,0.01997,-18.05,4.34,21.51,22.2,24.03,0.4085,41.809998,9.02,0.7,0.104,8,0
966,105962,214.14783845,0.88663553,214.14783845,0.88663553,16.87,16.83,0.02643,0.02555,-18.47,6.02,22.38,23.08,24.9,0.3627,52.910004,8.96,0.46,0.144,8,0
967,99332,182.3092642,1.0256206,182.3092642,1.0256206,18.955,18.95,0.03837,0.03715,-17.26,1.71,21.64,22.34,24.16,0.401,12.309998,8.7,0.71,0.111,3,0
968,593680,217.44190016,-0.15238661,217.44190016,-0.15238661,15.154,15.141,0.03082,0.03,-20.55,11.53,20.55,21.25,23.07,0.841,114.840004,10.41,1.2,0.164,8,0
969,417443,131.1204864,2.29274249,131.1204864,2.29274249,19.501,17.965,0.05045,0.04943,nan,1.36,21.62,22.32,24.14,0.4745,114.93001,10.09,1.51,0.174,8,1
970,512499,219.07987136,-1.12878916,219.07987136,-1.12878916,18.027,17.509,0.05787,0.05706,-19.57,3.43,22.1,22.8,24.62,0.58,2.7299957,9.73,0.9,0.149,3,0
971,574905,137.6877697,-0.10425523,137.6877697,-0.10425523,17.356,17.33,0.04926,0.04815,-19.43,8.06,21.76,22.45,24.28,0.8635,45.40001,9.82,1.05,0.101,3,0
972,64087,218.09195955,-0.22670848,218.09195955,-0.22670848,16.314,16.33,0.05626,0.05543,-20.73,2.78,19.94,20.64,22.46,0.4871,21.919998,10.37,1.11,0.166,8,0
973,178578,180.76536576,-1.90571799,180.76536576,-1.90571799,17.801,17.766,0.0216,0.01981,-17.07,6.62,23.02,23.71,25.54,0.538,89.44,8.47,0.53,0.09,8,0
974,78384,216.83318001,0.09980699,216.83318001,0.09980699,16.27,16.24,0.0853,0.08443,-21.77,5.7,21.56,22.26,24.08,0.3748,96.05,10.49,0.79,0.129,3,0
975,514029,214.13351026,-1.18214626,214.13351026,-1.18214626,15.283,15.286,0.05066,0.04977,-21.51,5.84,20.82,21.52,23.34,0.2966,149.04999,10.49,0.87,0.156,8,0
976,492946,218.93741812,-1.30398205,218.93741812,-1.30398205,16.694,16.692,0.07287,0.07204,-20.99,4.77,20.66,21.36,23.18,0.7496,101.9,10.57,1.27,0.154,3,0
977,493331,220.4619306,-1.39246134,220.4619306,-1.39246134,17.682,15.186,0.00709,0.00597,-17.25,15.41,22.36,23.06,24.88,0.5883,39.22,8.71,0.68,0.21,8,0
978,69844,176.96200594,0.20343703,176.96200594,0.20343703,17.911,18.055,0.02831,0.02706,-17.43,3.83,21.14,21.84,23.66,0.8352,31.880005,8.66,0.6,0.104,8,0
979,544938,217.57762582,-0.87109751,217.57762582,-0.87109751,17.987,18.015,0.03101,0.03019,-17.62,3.41,21.89,22.58,24.41,0.5926,118.28,8.63,0.47,0.173,3,0
980,279148,135.74609708,0.83100624,135.74609708,0.83100624,16.945,16.937,0.02842,0.02741,-18.56,2.63,19.9,20.6,22.42,0.6815,9.529999,9.38,0.92,0.155,8,0
981,619098,218.05118084,0.22324505,218.05118084,0.22324505,16.791,16.777,0.03637,0.03556,-19.27,8.02,22.31,23.01,24.83,0.594,87.609985,9.35,0.54,0.138,8,0
982,227624,214.40747015,1.206639,214.40747015,1.206639,18.125,18.077,0.05483,0.05395,-18.9,1.8,20.7,21.4,23.22,0.5113,103.76001,9.62,1.11,0.148,3,0
983,559541,177.55191965,-0.46262267,177.55191965,-0.46262267,17.365,17.38,0.04889,0.04763,-19.32,2.94,21.03,21.73,23.55,0.5331,95.36,9.59,0.85,0.094,3,0
984,273925,185.68878365,1.27522975,185.68878365,1.27522975,19.496,16.15,0.02952,0.02833,-19.41,5.34,21.01,21.71,23.53,0.61,152.09999,9.1,0.16,0.08,8,0
985,551496,140.54059339,-0.53956125,140.54059339,-0.53956125,15.65,15.199,0.05743,0.05628,-21.89,7.8,21.34,22.04,23.86,0.2452,36.54001,10.79,1.05,0.119,8,1
986,518026,134.74443584,2.76356951,134.74443584,2.76356951,19.348,18.975,0.04026,0.03921,-17.32,3.66,22.92,23.62,25.44,0.6866,91.38,9.04,1.07,0.172,8,0
987,204876,139.88435455,-0.41006993,139.88435455,-0.41006993,17.457,17.357,0.03981,0.03869,-18.85,8.04,21.94,22.64,24.46,0.8391,147.34,9.19,0.57,0.116,8,0
988,65355,222.72888595,-0.36901112,222.72888595,-0.36901112,17.505,17.469,0.02756,0.02686,-17.97,5.82,21.42,22.12,23.94,0.8373,153.32,8.92,0.65,0.197,8,0
989,106422,216.02913065,0.95049939,216.02913065,0.95049939,17.82,17.831,0.03954,0.03869,-18.4,4.52,23.29,23.99,25.81,0.0508,42.030006,8.99,0.54,0.106,3,0
990,231024,182.13020547,1.90942501,182.13020547,1.90942501,15.306,15.248,0.02232,0.02067,-19.7,14.3,21.09,21.79,23.61,0.8438,125.64,10.04,1.15,0.105,8,0
991,376165,132.17023847,1.49956155,132.17023847,1.49956155,18.425,17.994,0.02994,0.02893,-17.55,4.63,23.19,23.89,25.71,0.1194,173.75,8.7,0.6,0.132,8,0
992,610700,181.41440627,0.40847358,181.41440627,0.40847358,17.506,17.486,0.02272,0.02111,-17.45,5.33,22.39,23.09,24.91,0.5053,172.91,8.63,0.55,0.093,8,0
993,346680,134.67079601,2.19370629,134.67079601,2.19370629,16.992,16.872,0.00879,0.00806,-15.97,6.68,21.97,22.67,24.49,0.7202,3.3600006,7.68,0.08,0.147,8,0
994,512394,218.72425699,-1.1371825,218.72425699,-1.1371825,16.545,16.557,0.04862,0.04781,-20.09,3.82,21.33,22.03,23.85,0.1847,39.310013,9.74,0.63,0.148,3,0
995,31161,178.6825775,-1.21103042,178.6825775,-1.21103042,17.003,17.012,0.07869,0.07739,-20.82,4.39,20.39,21.09,22.91,0.8229,84.57001,10.32,1.04,0.094,3,0
996,79773,222.89488347,0.01044155,222.89488347,0.01044155,18.706,18.676,0.04355,0.04282,-17.76,3.07,22.19,22.89,24.71,0.6123,110.46,8.87,0.71,0.173,3,0
997,84107,175.99842988,0.42801347,175.99842988,0.42801347,15.351,15.345,0.02994,0.0287,-20.25,5.05,20.64,21.34,23.16,0.2314,167.65,9.71,0.5,0.108,8,0
998,534734,174.79935755,-0.95818308,174.79935755,-0.95818308,16.337,16.335,0.04765,0.04638,-20.3,5.84,22.1,22.8,24.62,0.1079,127.39,9.93,0.76,0.055,3,0
999,15154,214.28322999,0.67847229,214.28322999,0.67847229,16.52,16.526,0.07853,0.07762,-21.29,3.02,20.77,21.47,23.29,0.1901,96.05,10.4,0.91,0.145,3,0
1000,106411,215.96044692,1.00433143,215.96044692,1.00433143,16.747,16.751,0.07513,0.07425,-20.97,3.4,20.79,21.49,23.31,0.4745,124.880005,10.3,0.94,0.11,3,0
1001,594918,222.48808604,-0.17587134,222.48808604,-0.17587134,17.695,17.699,0.04401,0.04327,-18.78,2.68,21.77,22.47,24.29,0.1323,7.26001,9.38,0.84,0.169,8,0
1002,610816,181.91694684,0.24643629,181.91694684,0.24643629,17.944,17.911,0.02275,0.02114,-17.07,4.43,22.55,23.25,25.07,0.4741,118.45,8.62,0.71,0.081,8,0
1003,32274,184.15296827,-1.08234243,184.15296827,-1.08234243,17.001,17.032,0.023,0.02142,-17.97,4.49,21.77,22.47,24.29,0.415,101.36,8.79,0.48,0.081,8,0
1004,49702,222.08932066,-0.80754179,222.08932066,-0.80754179,15.409,15.397,0.05704,0.05628,-21.68,6.2,20.78,21.48,23.3,0.4687,67.729996,10.61,0.93,0.18,8,0
1005,623707,140.03525925,0.67068028,140.03525925,0.67068028,17.518,17.534,0.05957,0.05843,-19.64,4.25,21.17,21.87,23.69,0.7631,2.149994,9.72,0.85,0.122,3,0
1006,544812,216.98074288,-1.00818025,216.98074288,-1.00818025,16.409,16.377,0.03033,0.0295,-19.22,5.31,21.53,22.23,24.05,0.4081,5.2099915,9.32,0.52,0.158,8,0
1007,600682,136.84771723,0.24698222,136.84771723,0.24698222,16.856,16.857,0.05261,0.05151,-20.01,4.29,21.71,22.41,24.23,0.2901,130.78,9.7,0.63,0.122,3,0
1008,302994,140.14321141,1.55109987,140.14321141,1.55109987,16.847,16.864,0.0176,0.01666,-17.53,7.12,21.38,22.08,23.9,0.8132,49.350006,8.76,0.66,0.125,8,0
1009,373050,139.06897048,1.19233701,139.06897048,1.19233701,18.541,17.575,0.0557,0.05458,-19.6,35.12,24.33,25.03,26.85,0.8082,54.829994,10.47,1.55,0.117,8,1
1010,227351,213.09292578,1.36523,213.09292578,1.36523,16.414,16.338,0.02574,0.02482,-18.94,8.39,21.53,22.23,24.05,0.7798,138.7,9.5,0.87,0.155,8,0
1011,297090,214.58418608,1.48336561,214.58418608,1.48336561,16.46,16.476,0.07329,0.07239,-21.18,4.1,20.9,21.6,23.42,0.4882,115.909996,10.39,0.94,0.148,3,0
1012,599859,132.80389905,0.27454941,132.80389905,0.27454941,19.124,18.953,0.04343,0.04239,-17.5,2.27,21.63,22.33,24.15,0.7366,35.160004,8.79,0.72,0.139,3,0
1013,8007,180.23508637,0.79309201,180.23508637,0.79309201,17.32,17.291,0.08261,0.08132,-20.69,3.17,20.66,21.36,23.18,0.6714,47.23999,10.48,1.34,0.081,3,0
1014,38980,174.04825934,-0.76657667,174.04825934,-0.76657667,17.07,17.137,0.02835,0.02709,-18.32,5.48,23.0,23.71,25.53,0.1776,13.480011,8.97,0.54,0.077,8,0
1015,371677,132.32418291,0.91676129,132.32418291,0.91676129,16.011,16.004,0.06833,0.06727,-21.5,4.38,21.1,21.8,23.62,0.1349,168.12,10.57,1.0,0.13,3,0
1016,70116,178.54268118,0.13854837,178.54268118,0.13854837,16.528,16.212,0.05177,0.05051,-20.65,5.39,21.63,22.33,24.15,0.4964,48.300003,10.16,0.87,0.079,8,0
1017,422761,132.33073636,2.69486934,132.33073636,2.69486934,16.301,16.284,0.07801,0.07695,-21.52,4.3,21.35,22.06,23.87,0.1268,18.380005,10.54,0.97,0.121,3,0
1018,508416,216.93188589,-1.58702011,216.93188589,-1.58702011,15.413,15.396,0.02485,0.02398,-19.78,8.2,20.89,21.6,23.42,0.6721,48.700012,9.65,0.66,0.192,8,0
1019,41163,184.47551809,-0.79717941,184.47551809,-0.79717941,18.61,18.603,0.03205,0.03084,-17.14,2.27,22.2,22.9,24.72,0.2035,72.600006,8.63,0.71,0.109,3,0
1020,376712,134.73996359,1.42472599,134.73996359,1.42472599,17.157,17.059,0.05482,0.05375,-19.9,6.4,21.96,22.66,24.48,0.6798,133.68,9.76,0.76,0.201,3,0
1021,239597,218.33996165,1.47706328,218.33996165,1.47706328,19.281,17.414,0.11057,0.10971,-21.36,1.95,21.61,22.31,24.13,0.5624,123.630005,11.17,1.74,0.162,4,1
1022,198771,140.81531929,-0.72803109,140.81531929,-0.72803109,14.122,14.089,0.01275,0.01167,-19.61,18.01,21.25,21.96,23.78,0.666,129.25,9.43,0.45,0.144,8,0
1023,64420,219.22426873,-0.32251313,219.22426873,-0.32251313,17.448,17.302,0.05755,0.05674,-19.86,5.48,21.02,21.73,23.54,0.8759,5.350006,10.14,1.23,0.139,8,1
1024,98441,178.18158773,0.97481928,178.18158773,0.97481928,16.94,16.963,0.02625,0.02495,-18.36,5.77,21.85,22.55,24.37,0.6983,131.25,8.89,0.42,0.083,8,0
1025,486782,221.41631562,-1.71861716,221.41631562,-1.71861716,16.5,16.485,0.03041,0.02966,-19.14,7.08,21.48,22.18,24.0,0.7208,77.98001,9.3,0.54,0.19,8,0
1026,381502,132.98872159,1.89563887,132.98872159,1.89563887,18.24,18.254,0.02613,0.02524,-17.0,1.68,21.39,22.09,23.91,0.0661,90.76,8.37,0.45,0.128,8,0
1027,209830,135.19088754,0.07113992,135.19088754,0.07113992,16.528,16.5,0.05366,0.05258,-20.42,4.21,21.06,21.77,23.58,0.4303,17.399994,9.95,0.75,0.122,3,0
1028,300723,130.63866606,1.14939719,130.63866606,1.14939719,17.143,17.135,0.07835,0.07731,-20.71,3.12,20.45,21.16,22.98,0.6799,40.399994,10.31,1.08,0.156,3,0
1029,321494,223.49674292,1.54908837,223.49674292,1.54908837,17.692,17.648,0.04468,0.04396,-18.84,5.48,21.26,21.97,23.78,0.8714,52.809998,9.27,0.67,0.176,8,0
1030,251502,218.8083934,1.9446796,218.8083934,1.9446796,18.089,18.057,0.03063,0.02984,-17.6,5.05,22.85,23.56,25.37,0.4762,14.779999,8.62,0.46,0.138,3,0
1031,106049,214.59012585,0.94959438,214.59012585,0.94959438,17.6,17.653,0.027,0.02614,-17.72,3.43,21.55,22.25,24.07,0.5555,30.419998,8.76,0.57,0.147,8,0
1032,619951,222.32471548,0.38919857,222.32471548,0.38919857,18.185,17.783,0.03516,0.03442,-18.18,5.1,23.16,23.86,25.68,0.3535,142.97,9.0,0.64,0.168,3,0
1033,70920,182.10414699,0.09209763,182.10414699,0.09209763,16.958,17.006,0.04571,0.04447,-19.59,5.7,22.62,23.33,25.14,0.0405,130.94,9.69,0.8,0.082,3,0
1034,138132,180.86117416,-1.81826751,180.86117416,-1.81826751,18.927,18.849,0.02252,0.02087,-16.13,3.54,23.31,24.01,25.83,0.2717,140.03,8.45,0.94,0.073,8,0
1035,623712,140.13867311,0.72105987,140.13867311,0.72105987,16.496,16.407,0.01821,0.01727,-18.08,7.37,22.75,23.46,25.27,0.0847,123.920006,9.16,0.87,0.128,8,0
1036,93604,221.26371937,0.52697745,221.26371937,0.52697745,14.884,14.806,0.02958,0.02884,-20.77,13.57,21.59,22.3,24.12,0.5841,40.890015,10.15,0.77,0.194,8,0
1037,485310,214.84471845,-1.78117641,214.84471845,-1.78117641,17.098,17.121,0.05644,0.05555,-19.94,2.23,20.07,20.78,22.59,0.6047,164.5,10.18,1.26,0.228,8,0
1038,107395,219.80138396,0.94533379,219.80138396,0.94533379,16.321,16.334,0.03512,0.03434,-19.62,4.84,20.99,21.69,23.51,0.5557,77.390015,9.58,0.65,0.17,8,0
1039,609433,175.6871286,0.28226324,175.6871286,0.28226324,16.838,16.842,0.02028,0.01834,-17.88,5.0,21.4,22.11,23.92,0.6044,88.53998,8.84,0.58,0.099,8,0
1040,521991,131.99036326,2.88992694,131.99036326,2.88992694,16.343,16.333,0.05965,0.05861,-20.84,5.12,21.48,22.18,24.0,0.3125,41.78,10.34,1.04,0.119,8,0
1041,599857,132.74865447,0.32537773,132.74865447,0.32537773,18.842,18.886,0.0417,0.04066,-17.43,2.46,21.85,22.56,24.37,0.6279,74.76001,8.84,0.84,0.148,3,0
1042,229163,220.84274218,1.09811594,220.84274218,1.09811594,14.983,14.974,0.03886,0.0381,-21.24,5.2,20.22,20.92,22.74,0.3147,179.19,10.59,1.1,0.156,8,0
1043,570194,222.59618498,-0.49144427,222.59618498,-0.49144427,18.436,18.395,0.0436,0.04286,-18.07,3.94,22.79,23.5,25.31,0.4577,105.31,8.93,0.61,0.182,3,0
1044,136672,175.78729674,-1.63784182,175.78729674,-1.63784182,17.913,17.913,0.04433,0.04306,-18.55,5.78,22.37,23.07,24.89,0.6896,129.91,9.16,0.69,0.065,8,0
1045,85919,184.56949029,0.55197079,184.56949029,0.55197079,17.775,17.797,0.02274,0.02114,-17.17,1.55,20.2,20.91,22.72,0.4327,90.11,8.58,0.61,0.081,8,0
1046,512254,218.31595764,-1.14014234,218.31595764,-1.14014234,15.91,15.757,0.01514,0.01376,-18.3,12.18,21.58,22.29,24.1,0.7888,167.91,9.03,0.6,0.171,8,0
1047,592478,213.15757029,-0.01357865,213.15757029,-0.01357865,18.287,18.296,0.03608,0.03519,-17.71,1.12,20.15,20.86,22.68,0.4117,158.75,8.65,0.43,0.169,3,0
1048,38963,174.06175174,-0.69558115,174.06175174,-0.69558115,17.253,17.249,0.05133,0.05005,-19.53,4.23,21.43,22.14,23.96,0.5982,124.740005,9.52,0.65,0.077,3,0
1049,298888,222.09435066,1.21211392,222.09435066,1.21211392,17.472,17.446,0.03664,0.0359,-18.59,4.94,22.47,23.18,25.0,0.4127,18.720001,8.89,0.31,0.179,3,0
1050,137847,179.79836157,-1.70706399,179.79836157,-1.70706399,16.117,16.038,0.02208,0.02037,-18.87,5.64,21.9,22.61,24.42,0.3275,80.27002,9.16,0.49,0.121,8,0
1051,371213,130.57762364,0.94160442,130.57762364,0.94160442,17.168,17.021,0.07766,0.07662,-20.82,3.24,21.62,22.33,24.15,0.1268,23.970001,10.48,1.2,0.17,3,0
1052,322972,129.7926462,1.43156665,129.7926462,1.43156665,17.326,17.35,0.08241,0.08138,-20.64,4.32,20.97,21.68,23.49,0.7871,137.81,10.33,1.17,0.224,3,0
1053,22356,177.26653378,1.07952805,177.26653378,1.07952805,17.335,17.333,0.04887,0.04761,-19.36,4.45,22.19,22.9,24.72,0.3723,134.7,9.45,0.63,0.098,3,0
